canonical,alias,jaccard
Other Human Society,Other Studies In Human Society,0.75
Art Theory and Criticism,"Art History, Theory and Criticism",0.75
Visual Arts,Visual Arts and Crafts,0.67
Theory of Computation,Computation Theory and Mathematics,0.67
Reproductive Medicine,Paediatrics and Reproductive Medicine,0.67
Religious Studies,Religion and Religious Studies,0.67
Public Health,Public Health and Health Services,0.67
Environmental Management,Environmental Science and Management,0.67
Electrical Engineering,Electrical and Electronic Engineering,0.67
Astronomical Sciences,Astronomical and Space Sciences,0.67
Aboriginal and Torres Strait Islander Sciences,Aboriginal and Torres Strait Islander Education,0.67
Aboriginal and Torres Strait Islander Sciences,Aboriginal and Torres Strait Islander Health and Wellbeing,0.57
Aboriginal and Torres Strait Islander Education,Aboriginal and Torres Strait Islander Health and Wellbeing,0.57
Veterinary Sciences,Other Agricultural and Veterinary Sciences,0.50
Psychology,Other Psychology,0.50
Psychology,Biological Psychology,0.50
Physiology,Medical Physiology,0.50
Physical Chemistry,Physical Chemistry (Incl. Structural),0.50
Performing Arts and Creative Writing,Other Studies In Creative Arts and Writing,0.50
Performing Arts,Performing Arts and Creative Writing,0.50
Other Psychology,Other Psychology and Cognitive Sciences,0.50
Other Physical Sciences,Other Environmental Sciences,0.50
Other Physical Sciences,Other Biological Sciences,0.50
Other Earth Sciences,Other Physical Sciences,0.50
Other Earth Sciences,Other Environmental Sciences,0.50
Other Earth Sciences,Other Chemical Sciences,0.50
Other Earth Sciences,Other Biological Sciences,0.50
Other Chemical Sciences,Other Physical Sciences,0.50
Other Chemical Sciences,Other Environmental Sciences,0.50
Other Chemical Sciences,Other Biological Sciences,0.50
Other Biological Sciences,Other Environmental Sciences,0.50
Optical Physics,"Atomic, Molecular and Optical Physics",0.50
Microbiology,Medical Microbiology,0.50
Law,Public Law,0.50
Law,Maori Law,0.50
Law,Law In Context,0.50
Law,Commercial Law,0.50
Health Services and Systems,Public Health and Health Services,0.50
Distributed Computing,Distributed Computing and Systems Software,0.50
Design,Engineering Design,0.50
Data Management and Data Science,Environmental Science and Management,0.50
Cognitive Sciences,Other Psychology and Cognitive Sciences,0.50
Artificial Intelligence,Artificial Intelligence and Image Processing,0.50
Aboriginal and Torres Strait Islander Sciences,"Aboriginal and Torres Strait Islander Peoples, Society and Community",0.50
Aboriginal and Torres Strait Islander Sciences,Aboriginal and Torres Strait Islander Environmental Knowledges and Management,0.50
Aboriginal and Torres Strait Islander Sciences,"Aboriginal and Torres Strait Islander Culture, Language and History",0.50
Aboriginal and Torres Strait Islander Education,"Aboriginal and Torres Strait Islander Peoples, Society and Community",0.50
Aboriginal and Torres Strait Islander Education,Aboriginal and Torres Strait Islander Environmental Knowledges and Management,0.50
Aboriginal and Torres Strait Islander Education,"Aboriginal and Torres Strait Islander Culture, Language and History",0.50
